"","Date","country","cases","year"
"56",2003-02-23,"Venezuela",0.137,2003
"57",2003-03-02,"Argentina",0.051,2003
"58",2003-03-02,"Bolivia",0.119,2003
"59",2003-03-02,"Brazil",0.142,2003
"60",2003-03-02,"India",0.028,2003
"61",2003-03-02,"Indonesia",0.048,2003
"62",2003-03-02,"Mexico",0.075,2003
"63",2003-03-02,"Singapore",0.129,2003
"64",2003-03-02,"Venezuela",0.168,2003
"65",2003-03-09,"Argentina",0.051,2003
"66",2003-03-09,"Bolivia",0.195,2003
"67",2003-03-09,"Brazil",0.28,2003
"68",2003-03-09,"India",0.003,2003
"69",2003-03-09,"Indonesia",0.089,2003
"70",2003-03-09,"Mexico",0.096,2003
"71",2003-03-09,"Singapore",0.13,2003
"72",2003-03-09,"Venezuela",0.169,2003
"73",2003-03-16,"Argentina",0.046,2003
"74",2003-03-16,"Bolivia",0.289,2003
"75",2003-03-16,"Brazil",0.162,2003
"76",2003-03-16,"India",0.006,2003
"77",2003-03-16,"Indonesia",0.08,2003
"78",2003-03-16,"Mexico",0.064,2003
"79",2003-03-16,"Singapore",0.12,2003
"80",2003-03-16,"Venezuela",0.157,2003
"81",2003-03-23,"Argentina",0.043,2003
"82",2003-03-23,"Bolivia",0.227,2003
"83",2003-03-23,"Brazil",0.17,2003
"84",2003-03-23,"India",0.015,2003
"85",2003-03-23,"Indonesia",0.054,2003
"86",2003-03-23,"Mexico",0.073,2003
"87",2003-03-23,"Singapore",0.115,2003
"88",2003-03-23,"Venezuela",0.154,2003
"89",2003-03-30,"Argentina",0.039,2003
"90",2003-03-30,"Bolivia",0.194,2003
"91",2003-03-30,"Brazil",0.176,2003
"92",2003-03-30,"India",0.033,2003
"93",2003-03-30,"Indonesia",0.071,2003
"94",2003-03-30,"Mexico",0.076,2003
"95",2003-03-30,"Philippines",0.059,2003
"96",2003-03-30,"Singapore",0.104,2003
"97",2003-03-30,"Venezuela",0.138,2003
"98",2003-04-06,"Argentina",0.036,2003
"99",2003-04-06,"Bolivia",0.121,2003
"100",2003-04-06,"Brazil",0.134,2003
"101",2003-04-06,"India",0.008,2003
"102",2003-04-06,"Indonesia",0.054,2003
"103",2003-04-06,"Mexico",0.068,2003
"104",2003-04-06,"Philippines",0.059,2003
"105",2003-04-06,"Singapore",0.107,2003
"106",2003-04-06,"Venezuela",0.136,2003
"107",2003-04-13,"Argentina",0.031,2003
"108",2003-04-13,"Bolivia",0.101,2003
"109",2003-04-13,"Brazil",0.15,2003
"110",2003-04-13,"India",0.012,2003
"111",2003-04-13,"Indonesia",0.088,2003
"112",2003-04-13,"Mexico",0.055,2003
"113",2003-04-13,"Philippines",0.058,2003
"114",2003-04-13,"Singapore",0.101,2003
"115",2003-04-13,"Venezuela",0.129,2003
"116",2003-04-20,"Argentina",0.029,2003
"117",2003-04-20,"Bolivia",0.147,2003
"118",2003-04-20,"Brazil",0.104,2003
"119",2003-04-20,"India",0.03,2003
"120",2003-04-20,"Indonesia",0.054,2003
"121",2003-04-20,"Mexico",0.056,2003
"122",2003-04-20,"Philippines",0.058,2003
"123",2003-04-20,"Singapore",0.102,2003
"124",2003-04-20,"Venezuela",0.168,2003
"125",2003-04-27,"Argentina",0.034,2003
"126",2003-04-27,"Bolivia",0.097,2003
"127",2003-04-27,"Brazil",0.104,2003
"128",2003-04-27,"India",0.004,2003
"129",2003-04-27,"Indonesia",0.081,2003
"130",2003-04-27,"Mexico",0.072,2003
"131",2003-04-27,"Philippines",0.061,2003
"132",2003-04-27,"Singapore",0.128,2003
"133",2003-04-27,"Venezuela",0.263,2003
"134",2003-05-04,"Argentina",0.031,2003
"135",2003-05-04,"Bolivia",0.069,2003
"136",2003-05-04,"Brazil",0.089,2003
"137",2003-05-04,"India",0.007,2003
"138",2003-05-04,"Indonesia",0.068,2003
"139",2003-05-04,"Mexico",0.071,2003
"140",2003-05-04,"Philippines",0.059,2003
"141",2003-05-04,"Singapore",0.132,2003
"142",2003-05-04,"Venezuela",0.222,2003
"143",2003-05-11,"Argentina",0.039,2003
"144",2003-05-11,"Bolivia",0.064,2003
"145",2003-05-11,"Brazil",0.067,2003
"146",2003-05-11,"India",0,2003
"147",2003-05-11,"Indonesia",0.048,2003
"148",2003-05-11,"Mexico",0.06,2003
"149",2003-05-11,"Philippines",0.059,2003
"150",2003-05-11,"Singapore",0.14,2003
"151",2003-05-11,"Venezuela",0.2,2003
"152",2003-05-18,"Argentina",0.039,2003
"153",2003-05-18,"Bolivia",0.053,2003
"154",2003-05-18,"Brazil",0.109,2003
"155",2003-05-18,"India",0.019,2003
"156",2003-05-18,"Indonesia",0.061,2003
"157",2003-05-18,"Mexico",0.069,2003
"158",2003-05-18,"Philippines",0.057,2003
"159",2003-05-18,"Singapore",0.151,2003
"160",2003-05-18,"Venezuela",0.202,2003
"161",2003-05-25,"Argentina",0.039,2003
"162",2003-05-25,"Bolivia",0.064,2003
"163",2003-05-25,"Brazil",0.071,2003
"164",2003-05-25,"India",0.015,2003
"165",2003-05-25,"Indonesia",0.062,2003
"166",2003-05-25,"Mexico",0.074,2003
"167",2003-05-25,"Philippines",0.055,2003
"168",2003-05-25,"Singapore",0.175,2003
"169",2003-05-25,"Venezuela",0.177,2003
"170",2003-06-01,"Argentina",0.034,2003
"171",2003-06-01,"Bolivia",0.058,2003
"172",2003-06-01,"Brazil",0.08,2003
"173",2003-06-01,"India",0.031,2003
"174",2003-06-01,"Indonesia",0.082,2003
"175",2003-06-01,"Mexico",0.079,2003
"176",2003-06-01,"Philippines",0.062,2003
"177",2003-06-01,"Singapore",0.161,2003
"178",2003-06-01,"Venezuela",0.192,2003
"179",2003-06-08,"Argentina",0.039,2003
"180",2003-06-08,"Bolivia",0.042,2003
"181",2003-06-08,"Brazil",0.062,2003
"182",2003-06-08,"India",0.05,2003
"183",2003-06-08,"Indonesia",0.069,2003
"184",2003-06-08,"Mexico",0.088,2003
"185",2003-06-08,"Philippines",0.059,2003
"186",2003-06-08,"Singapore",0.15,2003
"187",2003-06-08,"Venezuela",0.186,2003
"188",2003-06-15,"Argentina",0.039,2003
"189",2003-06-15,"Bolivia",0.047,2003
"190",2003-06-15,"Brazil",0.036,2003
"191",2003-06-15,"India",0.094,2003
"192",2003-06-15,"Indonesia",0.055,2003
"193",2003-06-15,"Mexico",0.074,2003
"194",2003-06-15,"Philippines",0.059,2003
"195",2003-06-15,"Singapore",0.163,2003
"196",2003-06-15,"Venezuela",0.178,2003
"197",2003-06-22,"Argentina",0.039,2003
"198",2003-06-22,"Bolivia",0.039,2003
"199",2003-06-22,"Brazil",0.073,2003
"200",2003-06-22,"India",0.165,2003
"201",2003-06-22,"Indonesia",0.055,2003
"202",2003-06-22,"Mexico",0.056,2003
"203",2003-06-22,"Philippines",0.058,2003
"204",2003-06-22,"Singapore",0.143,2003
"205",2003-06-22,"Venezuela",0.16,2003
"206",2003-06-29,"Argentina",0.031,2003
"207",2003-06-29,"Bolivia",0.038,2003
"208",2003-06-29,"Brazil",0.056,2003
"209",2003-06-29,"India",0.17,2003
"210",2003-06-29,"Indonesia",0.047,2003
"211",2003-06-29,"Mexico",0.071,2003
"212",2003-06-29,"Philippines",0.058,2003
"213",2003-06-29,"Singapore",0.132,2003
"214",2003-06-29,"Venezuela",0.172,2003
"215",2003-07-06,"Argentina",0.034,2003
"216",2003-07-06,"Bolivia",0.029,2003
"217",2003-07-06,"Brazil",0.018,2003
"218",2003-07-06,"India",0.195,2003
"219",2003-07-06,"Indonesia",0.1,2003
"220",2003-07-06,"Mexico",0.086,2003
"221",2003-07-06,"Philippines",0.056,2003
"222",2003-07-06,"Singapore",0.12,2003
"223",2003-07-06,"Venezuela",0.159,2003
"224",2003-07-13,"Argentina",0.036,2003
"225",2003-07-13,"Bolivia",0.023,2003
"226",2003-07-13,"Brazil",0.015,2003
"227",2003-07-13,"India",0.174,2003
"228",2003-07-13,"Indonesia",0.073,2003
"229",2003-07-13,"Mexico",0.072,2003
"230",2003-07-13,"Philippines",0.057,2003
"231",2003-07-13,"Singapore",0.129,2003
"232",2003-07-13,"Venezuela",0.161,2003
"233",2003-07-20,"Argentina",0.029,2003
"234",2003-07-20,"Bolivia",0.021,2003
"235",2003-07-20,"Brazil",0.052,2003
"236",2003-07-20,"India",0.187,2003
"237",2003-07-20,"Indonesia",0.047,2003
"238",2003-07-20,"Mexico",0.065,2003
"239",2003-07-20,"Philippines",0.064,2003
"240",2003-07-20,"Singapore",0.128,2003
"241",2003-07-20,"Venezuela",0.163,2003
"242",2003-07-27,"Argentina",0.027,2003
"243",2003-07-27,"Bolivia",0.018,2003
"244",2003-07-27,"Brazil",0.013,2003
"245",2003-07-27,"India",0.18,2003
"246",2003-07-27,"Indonesia",0.049,2003
"247",2003-07-27,"Mexico",0.068,2003
"248",2003-07-27,"Philippines",0.064,2003
"249",2003-07-27,"Singapore",0.123,2003
"250",2003-07-27,"Venezuela",0.153,2003
"251",2003-08-03,"Argentina",0.024,2003
"252",2003-08-03,"Bolivia",0.016,2003
"253",2003-08-03,"Brazil",0.044,2003
"254",2003-08-03,"India",0.116,2003
"255",2003-08-03,"Indonesia",0.039,2003
"256",2003-08-03,"Mexico",0.095,2003
"257",2003-08-03,"Philippines",0.081,2003
"258",2003-08-03,"Singapore",0.112,2003
"259",2003-08-03,"Venezuela",0.151,2003
"260",2003-08-10,"Argentina",0.022,2003
"261",2003-08-10,"Bolivia",0.019,2003
"262",2003-08-10,"Brazil",0.036,2003
"263",2003-08-10,"India",0.101,2003
"264",2003-08-10,"Indonesia",0.039,2003
"265",2003-08-10,"Mexico",0.092,2003
"266",2003-08-10,"Philippines",0.091,2003
"267",2003-08-10,"Singapore",0.131,2003
"268",2003-08-10,"Venezuela",0.15,2003
"269",2003-08-17,"Argentina",0.022,2003
"270",2003-08-17,"Bolivia",0.022,2003
"271",2003-08-17,"Brazil",0.032,2003
"272",2003-08-17,"India",0.1,2003
"273",2003-08-17,"Indonesia",0.039,2003
"274",2003-08-17,"Mexico",0.089,2003
"275",2003-08-17,"Philippines",0.134,2003
"276",2003-08-17,"Singapore",0.127,2003
"277",2003-08-17,"Venezuela",0.146,2003
"278",2003-08-24,"Argentina",0.019,2003
"279",2003-08-24,"Bolivia",0.018,2003
"280",2003-08-24,"Brazil",0.034,2003
"281",2003-08-24,"India",0.103,2003
"282",2003-08-24,"Indonesia",0.064,2003
"283",2003-08-24,"Mexico",0.063,2003
"284",2003-08-24,"Philippines",0.163,2003
"285",2003-08-24,"Singapore",0.116,2003
"286",2003-08-24,"Venezuela",0.152,2003
"287",2003-08-31,"Argentina",0.019,2003
"288",2003-08-31,"Bolivia",0.018,2003
"289",2003-08-31,"Brazil",0.011,2003
"290",2003-08-31,"India",0.135,2003
"291",2003-08-31,"Indonesia",0.055,2003
"292",2003-08-31,"Mexico",0.084,2003
"293",2003-08-31,"Philippines",0.152,2003
"294",2003-08-31,"Singapore",0.111,2003
"295",2003-08-31,"Venezuela",0.159,2003
"296",2003-09-07,"Argentina",0.019,2003
"297",2003-09-07,"Bolivia",0.019,2003
"298",2003-09-07,"Brazil",0.018,2003
"299",2003-09-07,"India",0.143,2003
"300",2003-09-07,"Indonesia",0.047,2003
"301",2003-09-07,"Mexico",0.137,2003
"302",2003-09-07,"Philippines",0.149,2003
"303",2003-09-07,"Singapore",0.109,2003
"304",2003-09-07,"Venezuela",0.166,2003
"305",2003-09-14,"Argentina",0.019,2003
"306",2003-09-14,"Bolivia",0.031,2003
"307",2003-09-14,"Brazil",0.034,2003
"308",2003-09-14,"India",0.196,2003
"309",2003-09-14,"Indonesia",0.047,2003
"310",2003-09-14,"Mexico",0.165,2003
"311",2003-09-14,"Philippines",0.147,2003
"312",2003-09-14,"Singapore",0.113,2003
"313",2003-09-14,"Venezuela",0.175,2003
"314",2003-09-21,"Argentina",0.019,2003
"315",2003-09-21,"Bolivia",0.041,2003
"316",2003-09-21,"Brazil",0.015,2003
"317",2003-09-21,"India",0.242,2003
"318",2003-09-21,"Indonesia",0.063,2003
"319",2003-09-21,"Mexico",0.124,2003
"320",2003-09-21,"Philippines",0.137,2003
"321",2003-09-21,"Singapore",0.123,2003
"322",2003-09-21,"Venezuela",0.162,2003
"323",2003-09-28,"Argentina",0.019,2003
"324",2003-09-28,"Bolivia",0.049,2003
"325",2003-09-28,"Brazil",0.016,2003
"326",2003-09-28,"India",0.292,2003
"327",2003-09-28,"Indonesia",0.054,2003
"328",2003-09-28,"Mexico",0.188,2003
"329",2003-09-28,"Philippines",0.123,2003
"330",2003-09-28,"Singapore",0.12,2003
"331",2003-09-28,"Venezuela",0.166,2003
"332",2003-10-05,"Argentina",0.019,2003
"333",2003-10-05,"Bolivia",0.035,2003
"334",2003-10-05,"Brazil",0.02,2003
"335",2003-10-05,"India",0.565,2003
"336",2003-10-05,"Indonesia",0.069,2003
"337",2003-10-05,"Mexico",0.182,2003
"338",2003-10-05,"Philippines",0.141,2003
"339",2003-10-05,"Singapore",0.108,2003
"340",2003-10-05,"Venezuela",0.16,2003
"341",2003-10-12,"Argentina",0.019,2003
"342",2003-10-12,"Bolivia",0.044,2003
"343",2003-10-12,"Brazil",0.041,2003
"344",2003-10-12,"India",0.928,2003
"345",2003-10-12,"Indonesia",0.075,2003
"346",2003-10-12,"Mexico",0.16,2003
"347",2003-10-12,"Philippines",0.123,2003
"348",2003-10-12,"Singapore",0.108,2003
"349",2003-10-12,"Venezuela",0.192,2003
"350",2003-10-19,"Argentina",0.022,2003
"351",2003-10-19,"Bolivia",0.054,2003
"352",2003-10-19,"Brazil",0.026,2003
"353",2003-10-19,"India",0.99,2003
"354",2003-10-19,"Indonesia",0.068,2003
"355",2003-10-19,"Mexico",0.157,2003
"356",2003-10-19,"Philippines",0.109,2003
"357",2003-10-19,"Singapore",0.119,2003
"358",2003-10-19,"Venezuela",0.231,2003
"359",2003-10-26,"Argentina",0.024,2003
"360",2003-10-26,"Bolivia",0.035,2003
"361",2003-10-26,"Brazil",0.034,2003
"362",2003-10-26,"India",0.91,2003
"363",2003-10-26,"Indonesia",0.076,2003
"364",2003-10-26,"Mexico",0.122,2003
"365",2003-10-26,"Philippines",0.103,2003
"366",2003-10-26,"Singapore",0.174,2003
"367",2003-10-26,"Venezuela",0.298,2003
"368",2003-11-02,"Argentina",0.029,2003
"369",2003-11-02,"Bolivia",0.032,2003
"370",2003-11-02,"Brazil",0.038,2003
"371",2003-11-02,"India",0.679,2003
"372",2003-11-02,"Indonesia",0.075,2003
"373",2003-11-02,"Mexico",0.159,2003
"374",2003-11-02,"Philippines",0.096,2003
"375",2003-11-02,"Singapore",0.195,2003
"376",2003-11-02,"Venezuela",0.302,2003
"377",2003-11-09,"Argentina",0.027,2003
"378",2003-11-09,"Bolivia",0.044,2003
"379",2003-11-09,"Brazil",0.038,2003
"380",2003-11-09,"India",0.509,2003
"381",2003-11-09,"Indonesia",0.06,2003
"382",2003-11-09,"Mexico",0.132,2003
"383",2003-11-09,"Philippines",0.09,2003
"384",2003-11-09,"Singapore",0.157,2003
"385",2003-11-09,"Venezuela",0.262,2003
"386",2003-11-16,"Argentina",0.027,2003
"387",2003-11-16,"Bolivia",0.031,2003
"388",2003-11-16,"Brazil",0.046,2003
"389",2003-11-16,"India",0.327,2003
"390",2003-11-16,"Indonesia",0.047,2003
"391",2003-11-16,"Mexico",0.088,2003
"392",2003-11-16,"Philippines",0.091,2003
"393",2003-11-16,"Singapore",0.126,2003
"394",2003-11-16,"Venezuela",0.238,2003
"395",2003-11-23,"Argentina",0.027,2003
"396",2003-11-23,"Bolivia",0.03,2003
"397",2003-11-23,"Brazil",0.068,2003
"398",2003-11-23,"India",0.245,2003
"399",2003-11-23,"Indonesia",0.055,2003
"400",2003-11-23,"Mexico",0.127,2003
"401",2003-11-23,"Philippines",0.088,2003
"402",2003-11-23,"Singapore",0.116,2003
"403",2003-11-23,"Venezuela",0.231,2003
"404",2003-11-30,"Argentina",0.027,2003
"405",2003-11-30,"Bolivia",0.024,2003
"406",2003-11-30,"Brazil",0.063,2003
"407",2003-11-30,"India",0.178,2003
"408",2003-11-30,"Indonesia",0.068,2003
"409",2003-11-30,"Mexico",0.079,2003
"410",2003-11-30,"Philippines",0.089,2003
"411",2003-11-30,"Singapore",0.129,2003
"412",2003-11-30,"Venezuela",0.252,2003
"413",2003-12-07,"Argentina",0.024,2003
"414",2003-12-07,"Bolivia",0.016,2003
"415",2003-12-07,"Brazil",0.06,2003
"416",2003-12-07,"India",0.133,2003
"417",2003-12-07,"Indonesia",0.058,2003
"418",2003-12-07,"Mexico",0.083,2003
"419",2003-12-07,"Philippines",0.091,2003
"420",2003-12-07,"Singapore",0.112,2003
"421",2003-12-07,"Venezuela",0.286,2003
"422",2003-12-14,"Argentina",0.022,2003
"423",2003-12-14,"Bolivia",0.012,2003
"424",2003-12-14,"Brazil",0.055,2003
"425",2003-12-14,"India",0.094,2003
"426",2003-12-14,"Indonesia",0.045,2003
"427",2003-12-14,"Mexico",0.066,2003
"428",2003-12-14,"Philippines",0.095,2003
"429",2003-12-14,"Singapore",0.109,2003
"430",2003-12-14,"Venezuela",0.36,2003
"431",2003-12-21,"Argentina",0.019,2003
"432",2003-12-21,"Bolivia",0.011,2003
"433",2003-12-21,"Brazil",0.053,2003
"434",2003-12-21,"India",0.1,2003
"435",2003-12-21,"Indonesia",0.055,2003
"436",2003-12-21,"Mexico",0.055,2003
"437",2003-12-21,"Philippines",0.098,2003
"438",2003-12-21,"Singapore",0.104,2003
"439",2003-12-21,"Venezuela",0.324,2003
"440",2003-12-28,"Argentina",0.019,2003
"441",2003-12-28,"Bolivia",0.01,2003
"442",2003-12-28,"Brazil",0.049,2003
"443",2003-12-28,"India",0.087,2003
"444",2003-12-28,"Indonesia",0.039,2003
"445",2003-12-28,"Mexico",0.042,2003
"446",2003-12-28,"Philippines",0.109,2003
"447",2003-12-28,"Singapore",0.117,2003
"448",2003-12-28,"Venezuela",0.321,2003
"449",2004-01-04,"Argentina",0.019,2004
"450",2004-01-04,"Bolivia",0.01,2004
"451",2004-01-04,"Brazil",0.085,2004
"452",2004-01-04,"India",0.07,2004
"453",2004-01-04,"Indonesia",0.065,2004
"454",2004-01-04,"Mexico",0.041,2004
"455",2004-01-04,"Philippines",0.105,2004
"456",2004-01-04,"Singapore",0.115,2004
"457",2004-01-04,"Venezuela",0.285,2004
"458",2004-01-11,"Argentina",0.017,2004
"459",2004-01-11,"Bolivia",0.018,2004
"460",2004-01-11,"Brazil",0.095,2004
"461",2004-01-11,"India",0.072,2004
"462",2004-01-11,"Indonesia",0.09,2004
"463",2004-01-11,"Mexico",0.036,2004
"464",2004-01-11,"Philippines",0.096,2004
"465",2004-01-11,"Singapore",0.109,2004
"466",2004-01-11,"Venezuela",0.256,2004
"467",2004-01-18,"Argentina",0.017,2004
"468",2004-01-18,"Bolivia",0.07,2004
"469",2004-01-18,"Brazil",0.072,2004
"470",2004-01-18,"India",0.062,2004
"471",2004-01-18,"Indonesia",0.039,2004
"472",2004-01-18,"Mexico",0.034,2004
"473",2004-01-18,"Philippines",0.097,2004
"474",2004-01-18,"Singapore",0.106,2004
"475",2004-01-18,"Venezuela",0.251,2004
"476",2004-01-25,"Argentina",0.019,2004
"477",2004-01-25,"Bolivia",0.091,2004
"478",2004-01-25,"Brazil",0.057,2004
"479",2004-01-25,"India",0.059,2004
"480",2004-01-25,"Indonesia",0.065,2004
"481",2004-01-25,"Mexico",0.033,2004
"482",2004-01-25,"Philippines",0.093,2004
"483",2004-01-25,"Singapore",0.108,2004
"484",2004-01-25,"Venezuela",0.284,2004
"485",2004-02-01,"Argentina",0.031,2004
"486",2004-02-01,"Bolivia",0.068,2004
"487",2004-02-01,"Brazil",0.069,2004
"488",2004-02-01,"India",0.043,2004
"489",2004-02-01,"Indonesia",0.058,2004
"490",2004-02-01,"Mexico",0.037,2004
"491",2004-02-01,"Philippines",0.088,2004
"492",2004-02-01,"Singapore",0.109,2004
"493",2004-02-01,"Venezuela",0.283,2004
"494",2004-02-08,"Argentina",0.039,2004
"495",2004-02-08,"Bolivia",0.046,2004
"496",2004-02-08,"Brazil",0.067,2004
"497",2004-02-08,"India",0.033,2004
"498",2004-02-08,"Indonesia",0.122,2004
"499",2004-02-08,"Mexico",0.032,2004
"500",2004-02-08,"Philippines",0.08,2004
"501",2004-02-08,"Singapore",0.145,2004
"502",2004-02-08,"Venezuela",0.227,2004
"503",2004-02-15,"Argentina",0.046,2004
"504",2004-02-15,"Bolivia",0.034,2004
"505",2004-02-15,"Brazil",0.077,2004
"506",2004-02-15,"India",0.058,2004
"507",2004-02-15,"Indonesia",0.295,2004
"508",2004-02-15,"Mexico",0.031,2004
"509",2004-02-15,"Philippines",0.074,2004
"510",2004-02-15,"Singapore",0.194,2004
"511",2004-02-15,"Venezuela",0.199,2004
"512",2004-02-22,"Argentina",0.041,2004
"513",2004-02-22,"Bolivia",0.034,2004
"514",2004-02-22,"Brazil",0.088,2004
"515",2004-02-22,"India",0.039,2004
"516",2004-02-22,"Indonesia",0.69,2004
"517",2004-02-22,"Mexico",0.033,2004
"518",2004-02-22,"Philippines",0.071,2004
"519",2004-02-22,"Singapore",0.178,2004
"520",2004-02-22,"Venezuela",0.195,2004
"521",2004-02-29,"Argentina",0.039,2004
"522",2004-02-29,"Bolivia",0.03,2004
"523",2004-02-29,"Brazil",0.085,2004
"524",2004-02-29,"India",0.031,2004
"525",2004-02-29,"Indonesia",1,2004
"526",2004-02-29,"Mexico",0.04,2004
"527",2004-02-29,"Philippines",0.073,2004
"528",2004-02-29,"Singapore",0.172,2004
"529",2004-02-29,"Venezuela",0.207,2004
"530",2004-03-07,"Argentina",0.039,2004
"531",2004-03-07,"Bolivia",0.028,2004
"532",2004-03-07,"Brazil",0.096,2004
"533",2004-03-07,"India",0.023,2004
"534",2004-03-07,"Indonesia",0.8,2004
"535",2004-03-07,"Mexico",0.036,2004
"536",2004-03-07,"Philippines",0.07,2004
"537",2004-03-07,"Singapore",0.161,2004
"538",2004-03-07,"Venezuela",0.188,2004
"539",2004-03-14,"Argentina",0.053,2004
"540",2004-03-14,"Bolivia",0.023,2004
"541",2004-03-14,"Brazil",0.071,2004
"542",2004-03-14,"India",0.039,2004
"543",2004-03-14,"Indonesia",0.521,2004
"544",2004-03-14,"Mexico",0.04,2004
"545",2004-03-14,"Philippines",0.065,2004
"546",2004-03-14,"Singapore",0.164,2004
"547",2004-03-14,"Venezuela",0.183,2004
"548",2004-03-21,"Argentina",0.065,2004
"549",2004-03-21,"Bolivia",0.037,2004
"550",2004-03-21,"Brazil",0.085,2004
"551",2004-03-21,"India",0.023,2004
"552",2004-03-21,"Indonesia",0.424,2004
"553",2004-03-21,"Mexico",0.047,2004
"554",2004-03-21,"Philippines",0.06,2004
"555",2004-03-21,"Singapore",0.135,2004
"556",2004-03-21,"Venezuela",0.184,2004
"557",2004-03-28,"Argentina",0.063,2004
"558",2004-03-28,"Bolivia",0.056,2004
"559",2004-03-28,"Brazil",0.096,2004
"560",2004-03-28,"India",0.026,2004
"561",2004-03-28,"Indonesia",0.205,2004
"562",2004-03-28,"Mexico",0.052,2004
"563",2004-03-28,"Philippines",0.06,2004
"564",2004-03-28,"Singapore",0.17,2004
"565",2004-03-28,"Venezuela",0.168,2004
"566",2004-04-04,"Argentina",0.046,2004
"567",2004-04-04,"Bolivia",0.042,2004
"568",2004-04-04,"Brazil",0.071,2004
"569",2004-04-04,"India",0.037,2004
"570",2004-04-04,"Indonesia",0.262,2004
"571",2004-04-04,"Mexico",0.051,2004
"572",2004-04-04,"Philippines",0.057,2004
"573",2004-04-04,"Singapore",0.149,2004
"574",2004-04-04,"Venezuela",0.176,2004
"575",2004-04-11,"Argentina",0.041,2004
"576",2004-04-11,"Bolivia",0.035,2004
"577",2004-04-11,"Brazil",0.054,2004
"578",2004-04-11,"India",0.027,2004
"579",2004-04-11,"Indonesia",0.212,2004
"580",2004-04-11,"Mexico",0.051,2004
"581",2004-04-11,"Philippines",0.058,2004
"582",2004-04-11,"Singapore",0.127,2004
"583",2004-04-11,"Venezuela",0.162,2004
"584",2004-04-18,"Argentina",0.036,2004
"585",2004-04-18,"Bolivia",0.04,2004
"586",2004-04-18,"Brazil",0.067,2004
"587",2004-04-18,"India",0.031,2004
"588",2004-04-18,"Indonesia",0.186,2004
"589",2004-04-18,"Mexico",0.049,2004
"590",2004-04-18,"Philippines",0.057,2004
"591",2004-04-18,"Singapore",0.118,2004
"592",2004-04-18,"Venezuela",0.162,2004
"593",2004-04-25,"Argentina",0.041,2004
"594",2004-04-25,"Bolivia",0.045,2004
"595",2004-04-25,"Brazil",0.027,2004
"596",2004-04-25,"India",0.019,2004
"597",2004-04-25,"Indonesia",0.151,2004
"598",2004-04-25,"Mexico",0.044,2004
"599",2004-04-25,"Philippines",0.056,2004
"600",2004-04-25,"Singapore",0.127,2004
"601",2004-04-25,"Venezuela",0.187,2004
"602",2004-05-02,"Argentina",0.041,2004
"603",2004-05-02,"Bolivia",0.051,2004
"604",2004-05-02,"Brazil",0.039,2004
"605",2004-05-02,"India",0.016,2004
"606",2004-05-02,"Indonesia",0.142,2004
"607",2004-05-02,"Mexico",0.038,2004
"608",2004-05-02,"Philippines",0.054,2004
